Id,FirstName,MiddleName,LastName,Phone,Email;;Id;FirstName;MiddleName;LastName;Phone;Email
2,Семенов Евгений Николаевич,32-25-55,;;2;Семенов;Евгений;Николаевич;32-25-55;
3,Денисова Олеся Леонидовна,,dummy@email.ru;;3;Денисова;Олеся;Леонидовна;;dummy@email.ru
5,Сафронов Алексей Вячеславович‡,,client@esoft.tech;;5;Сафронов;Алексей;Вячеславович;;client@esoft.tech
6,Кудряшов Александр Витальевич‡,551988,;;6;Кудряшов;Александр;Витальевич;551988;
8,Фёдоров Алексей Николаевич,,fedorov@mail.ru;;8;Фёдоров;Алексей;Николаевич;;fedorov@mail.ru
10,Пелымская Светлана АлександровнаРџРµР»С‹РјСЃРєР°СЏ,РЎРІРµС‚Р»Р°РЅР°,РђР»РµРєСЃР°РЅРґСЂРѕРІРЅР°,83452112233,;;10;Пелымская;Светлана;Александровна;83452112233;
12,Коновальчик Татьяна ГеннадьевнаРљРѕРЅРѕРІР°Р»СЊС‡РёРє,РўР°С‚СЊСЏРЅР°,Р“РµРЅРЅР°РґСЊРµРІРЅР°,,dummy@email.ru;;12;Коновальчик;Татьяна;Геннадьевна;;dummy@email.ru
14,Молоковская Светлана МихайловнаРњРѕР»РѕРєРѕРІСЃРєР°СЏ,РЎРІРµС‚Р»Р°РЅР°,РњРёС…Р°Р№Р»РѕРІРЅР°,898489848,;;14;Молоковская;Светлана;Михайловна;898489848;
16,Моторина Анастасия СергеевнаРњРѕС‚РѕСЂРёРЅР°,РђРЅР°СЃС‚Р°СЃРёСЏ,РЎРµСЂРіРµРµРІРЅР°,895159848,;;16;Моторина;Анастасия;Сергеевна;895159848;
17,Поспелова Ольга Александровна РџРѕСЃРїРµР»РѕРІР°,РћР»СЊРіР°,РђР»РµРєСЃР°РЅРґСЂРѕРІРЅР°,,angel@mail.ru;;17;Поспелова;Ольга;Александровна;;angel@mail.ru
18,Жиляков Владимир Владимирович Р–РёР»СЏРєРѕРІ,Р’Р»Р°РґРёРјРёСЂ,Р’Р»Р°РґРёРјРёСЂРѕРІРёС‡,445588,445588@email.ru;;18;Жиляков;Владимир;Владимирович;445588;445588@email.ru
20,Ефремов Владислав Николаевич,,parampampam@mail.ru;;20;Ефремов;Владислав;Николаевич;;parampampam@mail.ru
21,Баль Валентина СергеевнаР‘Р°Р»СЊ,Р’Р°Р»РµРЅС‚РёРЅР°,РЎРµСЂРіРµРµРІРЅР°,+7998888444,;;21;Баль;Валентина;Сергеевна;7998888444;
22,Стрелков Артем НиколаевичРЎС‚СЂРµР»РєРѕРІ,РђСЂС‚РµРј,РќРёРєРѕР»Р°РµРІРёС‡,,test@test.test;;22;Стрелков;Артем;Николаевич;;test@test.test
23,Луканин Павел ВалерьевичР›СѓРєР°РЅРёРЅ,РџР°РІРµР»,Р’Р°Р»РµСЂСЊРµРІРёС‡,,foo@bar.ru;;23;Луканин;Павел;Валерьевич;;foo@bar.ru
25,Шарипова Эльвира ЗакирчановнаРЁР°СЂРёРїРѕРІР°,Р­Р»СЊРІРёСЂР°,Р—Р°РєРёСЂС‡Р°РЅРѕРІРЅР°,12345678910,;;25;Шарипова;Эльвира;Закирчановна;12345678910;
26,Фомина Маргарита НиколаевнаР¤РѕРјРёРЅР°,РњР°СЂРіР°СЂРёС‚Р°,РќРёРєРѕР»Р°РµРІРЅР°,,fomina@email.ru;;26;Фомина;Маргарита;Николаевна;;fomina@email.ru
27,Кремлев Владислав ЮрьевичРљСЂРµРјР»РµРІ,Р’Р»Р°РґРёСЃР»Р°РІ,Р®СЂСЊРµРІРёС‡,777,kremlevvu@gmail.ru;;27;Кремлев;Владислав;Юрьевич;777;kremlevvu@gmail.ru
28,Пономарева Елена Сергеевна°,,ponomareva@gmail.ru;;28;Пономарева;Елена;Сергеевна°;ponomareva@gmail.ru;
29,Шелест Тамара Васильевна»СЊРµРІРЅР°,112,;;29;Шелест;Тамара;Васильевна;112;
30,Шарипов Рустам ВладимировичРЁР°СЂРёРїРѕРІ,Р СѓСЃС‚Р°Рј,Р’Р»Р°РґРёРјРёСЂРѕРІРёС‡,,sharipov@yandex.ru;;30;Шарипов;Рустам;Владимирович;;sharipov@yandex.ru
31,Романов Сергей ФедоровичР РѕРјР°РЅРѕРІ,РЎРµСЂРіРµР№,Р¤РµРґРѕСЂРѕРІРёС‡,02,;;31;Романов;Сергей;Федорович;2;
32,РКручинин Иван Андреевич,РђРЅРґСЂРµРµРІРёС‡,,kruch@list.ru;;32;РКручинин;Иван;Андреевич;;kruch@list.ru
33,Алферов Алексей НиколаевичР°РµРІРёС‡,+688899444,;;33;Алферов;Алексей;Николаевич;688899444;
35,Попов Алексей Николаевич‡,+0489848565,popovan@bik.ru;;35;Попов;Алексей;Николаевич‡;489848565;popovan@bik.ru
36,Неезжала Наталья ЛеонидовнаС‚Р°Р»СЊСЏ,Р›РµРѕРЅРёРґРѕРІРЅР°,,neez@mail.ru;;36;Неезжала;Наталья;Леонидовна;;neez@mail.ru
